time,count,site,month
2015-12-05 00:00:00,0.0,chanet,2015-12
2015-12-06 00:00:00,0.0,chanet,2015-12
2015-12-07 00:00:00,0.0,chanet,2015-12
2015-12-08 00:00:00,0.0,chanet,2015-12
2015-12-09 00:00:00,2.0,chanet,2015-12
2015-12-10 00:00:00,0.0,chanet,2015-12
2015-12-11 00:00:00,3.0,chanet,2015-12
2015-12-12 00:00:00,4.0,chanet,2015-12
2015-12-13 00:00:00,3.0,chanet,2015-12
2015-12-14 00:00:00,0.0,chanet,2015-12
2015-12-15 00:00:00,0.0,chanet,2015-12
2015-12-16 00:00:00,0.0,chanet,2015-12
2015-12-17 00:00:00,4.0,chanet,2015-12
2015-12-18 00:00:00,0.0,chanet,2015-12
2015-12-19 00:00:00,5.0,chanet,2015-12
2015-12-20 00:00:00,0.0,chanet,2015-12
2015-12-21 00:00:00,4.0,chanet,2015-12
2015-12-22 00:00:00,3.0,chanet,2015-12
2015-12-23 00:00:00,6.0,chanet,2015-12
2015-12-24 00:00:00,3.0,chanet,2015-12
2015-12-25 00:00:00,2.0,chanet,2015-12
2015-12-26 00:00:00,7.0,chanet,2015-12
2015-12-27 00:00:00,3.0,chanet,2015-12
2015-12-28 00:00:00,2.0,chanet,2015-12
2015-12-29 00:00:00,0.0,chanet,2015-12
2015-12-30 00:00:00,28.0,chanet,2015-12
2015-12-31 00:00:00,3.0,chanet,2015-12
2016-01-01 00:00:00,16.0,chanet,2016-01
2016-01-02 00:00:00,4.0,chanet,2016-01
2016-01-03 00:00:00,0.0,chanet,2016-01
2016-01-04 00:00:00,2.0,chanet,2016-01
2016-01-05 00:00:00,0.0,chanet,2016-01
2016-01-06 00:00:00,0.0,chanet,2016-01
2016-01-07 00:00:00,4.0,chanet,2016-01
2016-01-08 00:00:00,1.0,chanet,2016-01
2016-01-09 00:00:00,3.0,chanet,2016-01
2016-01-10 00:00:00,12.0,chanet,2016-01
2016-01-11 00:00:00,0.0,chanet,2016-01
2016-01-12 00:00:00,3.0,chanet,2016-01
2016-01-13 00:00:00,15.0,chanet,2016-01
2016-01-14 00:00:00,0.0,chanet,2016-01
2016-01-15 00:00:00,8.0,chanet,2016-01
2016-01-16 00:00:00,13.0,chanet,2016-01
2016-01-17 00:00:00,15.0,chanet,2016-01
2016-01-18 00:00:00,0.0,chanet,2016-01
2016-01-19 00:00:00,0.0,chanet,2016-01
2016-01-20 00:00:00,0.0,chanet,2016-01
2016-01-21 00:00:00,6.0,chanet,2016-01
2016-01-22 00:00:00,1.0,chanet,2016-01
2016-01-23 00:00:00,5.0,chanet,2016-01
2016-01-24 00:00:00,16.0,chanet,2016-01
2016-01-25 00:00:00,2.0,chanet,2016-01
2016-01-26 00:00:00,1.0,chanet,2016-01
2016-01-27 00:00:00,1.0,chanet,2016-01
2016-01-28 00:00:00,0.0,chanet,2016-01
2016-01-29 00:00:00,7.0,chanet,2016-01
2016-01-30 00:00:00,13.0,chanet,2016-01
2016-01-31 00:00:00,7.0,chanet,2016-01
2016-02-01 00:00:00,1.0,chanet,2016-02
2016-02-02 00:00:00,0.0,chanet,2016-02
2016-02-03 00:00:00,8.0,chanet,2016-02
2016-02-04 00:00:00,23.0,chanet,2016-02
2016-02-05 00:00:00,6.0,chanet,2016-02
2016-02-06 00:00:00,16.0,chanet,2016-02
2016-02-07 00:00:00,2.0,chanet,2016-02
2016-02-08 00:00:00,24.0,chanet,2016-02
2016-02-09 00:00:00,4.0,chanet,2016-02
2016-02-10 00:00:00,0.0,chanet,2016-02
2016-02-11 00:00:00,2.0,chanet,2016-02
2016-02-12 00:00:00,0.0,chanet,2016-02
2016-02-13 00:00:00,6.0,chanet,2016-02
2016-02-14 00:00:00,12.0,chanet,2016-02
2016-02-15 00:00:00,2.0,chanet,2016-02
2016-02-16 00:00:00,0.0,chanet,2016-02
2016-02-17 00:00:00,22.0,chanet,2016-02
2016-02-18 00:00:00,3.0,chanet,2016-02
2016-02-19 00:00:00,2.0,chanet,2016-02
2016-02-20 00:00:00,8.0,chanet,2016-02
2016-02-21 00:00:00,45.0,chanet,2016-02
2016-02-22 00:00:00,0.0,chanet,2016-02
2016-02-23 00:00:00,5.0,chanet,2016-02
2016-02-24 00:00:00,14.0,chanet,2016-02
2016-02-25 00:00:00,11.0,chanet,2016-02
2016-02-26 00:00:00,14.0,chanet,2016-02
2016-02-27 00:00:00,11.0,chanet,2016-02
2016-02-28 00:00:00,0.0,chanet,2016-02
2016-02-29 00:00:00,0.0,chanet,2016-02
2016-03-01 00:00:00,4.0,chanet,2016-03
2016-03-02 00:00:00,2.0,chanet,2016-03
2016-03-03 00:00:00,7.0,chanet,2016-03
2016-03-04 00:00:00,0.0,chanet,2016-03
2016-03-05 00:00:00,0.0,chanet,2016-03
2016-03-06 00:00:00,8.0,chanet,2016-03
2016-03-07 00:00:00,1.0,chanet,2016-03
2016-03-08 00:00:00,33.0,chanet,2016-03
2016-03-09 00:00:00,0.0,chanet,2016-03
2016-03-10 00:00:00,16.0,chanet,2016-03
2016-03-11 00:00:00,2.0,chanet,2016-03
2016-03-12 00:00:00,11.0,chanet,2016-03
2016-03-13 00:00:00,16.0,chanet,2016-03
2016-03-14 00:00:00,0.0,chanet,2016-03
2016-03-15 00:00:00,47.0,chanet,2016-03
2016-03-16 00:00:00,7.0,chanet,2016-03
2016-03-17 00:00:00,0.0,chanet,2016-03
2016-03-18 00:00:00,1.0,chanet,2016-03
2016-03-19 00:00:00,41.0,chanet,2016-03
2016-03-20 00:00:00,8.0,chanet,2016-03
2016-03-21 00:00:00,5.0,chanet,2016-03
2016-03-22 00:00:00,27.0,chanet,2016-03
2016-03-23 00:00:00,18.0,chanet,2016-03
2016-03-24 00:00:00,4.0,chanet,2016-03
2016-03-25 00:00:00,7.0,chanet,2016-03
2016-03-26 00:00:00,41.0,chanet,2016-03
2016-03-27 00:00:00,5.0,chanet,2016-03
2016-03-28 00:00:00,48.0,chanet,2016-03
2016-03-29 00:00:00,13.0,chanet,2016-03
2016-03-30 00:00:00,62.0,chanet,2016-03
2016-03-31 00:00:00,13.0,chanet,2016-03
2016-04-01 00:00:00,0.0,chanet,2016-04
2016-04-02 00:00:00,12.0,chanet,2016-04
2016-04-03 00:00:00,18.0,chanet,2016-04
2016-04-04 00:00:00,12.0,chanet,2016-04
2016-04-05 00:00:00,0.0,chanet,2016-04
2016-04-06 00:00:00,44.0,chanet,2016-04
2016-04-07 00:00:00,30.0,chanet,2016-04
2016-04-08 00:00:00,15.0,chanet,2016-04
2016-04-09 00:00:00,52.0,chanet,2016-04
2016-04-10 00:00:00,61.0,chanet,2016-04
2016-04-11 00:00:00,17.0,chanet,2016-04
2016-04-12 00:00:00,20.0,chanet,2016-04
2016-04-13 00:00:00,13.0,chanet,2016-04
2016-04-14 00:00:00,41.0,chanet,2016-04
2016-04-15 00:00:00,27.0,chanet,2016-04
2016-04-16 00:00:00,29.0,chanet,2016-04
2016-04-17 00:00:00,21.0,chanet,2016-04
2016-04-18 00:00:00,26.0,chanet,2016-04
2016-04-19 00:00:00,47.0,chanet,2016-04
2016-04-20 00:00:00,70.0,chanet,2016-04
2016-04-21 00:00:00,39.0,chanet,2016-04
2016-04-22 00:00:00,30.0,chanet,2016-04
2016-04-23 00:00:00,11.0,chanet,2016-04
2016-04-24 00:00:00,95.0,chanet,2016-04
2016-04-25 00:00:00,55.0,chanet,2016-04
2016-04-26 00:00:00,33.0,chanet,2016-04
2016-04-27 00:00:00,37.0,chanet,2016-04
2016-04-28 00:00:00,55.0,chanet,2016-04
2016-04-29 00:00:00,15.0,chanet,2016-04
2016-04-30 00:00:00,6.0,chanet,2016-04
2016-05-01 00:00:00,19.0,chanet,2016-05
2016-05-02 00:00:00,16.0,chanet,2016-05
2016-05-03 00:00:00,15.0,chanet,2016-05
2016-05-04 00:00:00,17.0,chanet,2016-05
2016-05-05 00:00:00,58.0,chanet,2016-05
2016-05-06 00:00:00,129.0,chanet,2016-05
2016-05-07 00:00:00,189.0,chanet,2016-05
2016-05-08 00:00:00,22.0,chanet,2016-05
2016-05-09 00:00:00,12.0,chanet,2016-05
2016-05-10 00:00:00,5.0,chanet,2016-05
2016-05-11 00:00:00,0.0,chanet,2016-05
2016-05-12 00:00:00,35.0,chanet,2016-05
2016-05-13 00:00:00,7.0,chanet,2016-05
2016-05-14 00:00:00,60.0,chanet,2016-05
2016-05-15 00:00:00,107.0,chanet,2016-05
2016-05-16 00:00:00,68.0,chanet,2016-05
2016-05-17 00:00:00,14.0,chanet,2016-05
2016-05-18 00:00:00,13.0,chanet,2016-05
2016-05-19 00:00:00,36.0,chanet,2016-05
2016-05-20 00:00:00,10.0,chanet,2016-05
2016-05-21 00:00:00,55.0,chanet,2016-05
2016-05-22 00:00:00,13.0,chanet,2016-05
2016-05-23 00:00:00,17.0,chanet,2016-05
2016-05-24 00:00:00,45.0,chanet,2016-05
2016-05-25 00:00:00,31.0,chanet,2016-05
2016-05-26 00:00:00,12.0,chanet,2016-05
2016-05-27 00:00:00,17.0,chanet,2016-05
2016-05-28 00:00:00,12.0,chanet,2016-05
2016-05-29 00:00:00,12.0,chanet,2016-05
2016-05-30 00:00:00,26.0,chanet,2016-05
2016-05-31 00:00:00,4.0,chanet,2016-05
2016-06-01 00:00:00,10.0,chanet,2016-06
2016-06-02 00:00:00,18.0,chanet,2016-06
2016-06-03 00:00:00,4.0,chanet,2016-06
2016-06-04 00:00:00,11.0,chanet,2016-06
2016-06-05 00:00:00,16.0,chanet,2016-06
2016-06-06 00:00:00,2.0,chanet,2016-06
2016-06-07 00:00:00,54.0,chanet,2016-06
2016-06-08 00:00:00,24.0,chanet,2016-06
2016-06-09 00:00:00,12.0,chanet,2016-06
2016-06-10 00:00:00,8.0,chanet,2016-06
2016-06-11 00:00:00,31.0,chanet,2016-06
2016-06-12 00:00:00,37.0,chanet,2016-06
2016-06-13 00:00:00,48.0,chanet,2016-06
2016-06-14 00:00:00,16.0,chanet,2016-06
2016-06-15 00:00:00,12.0,chanet,2016-06
2016-06-16 00:00:00,2.0,chanet,2016-06
2016-06-17 00:00:00,23.0,chanet,2016-06
2016-06-18 00:00:00,15.0,chanet,2016-06
2016-06-19 00:00:00,44.0,chanet,2016-06
2016-06-20 00:00:00,24.0,chanet,2016-06
2016-06-21 00:00:00,57.0,chanet,2016-06
2016-06-22 00:00:00,13.0,chanet,2016-06
2016-06-23 00:00:00,10.0,chanet,2016-06
2016-06-24 00:00:00,10.0,chanet,2016-06
2016-06-25 00:00:00,18.0,chanet,2016-06
2016-06-26 00:00:00,17.0,chanet,2016-06
